Eleves,Choix,ElevesAccord,Envies
50 + 2,13,50 + 2,{3}
104 + 4,27,104 + 4,{3}
178 + 7,1,178 + 7,{3}
178 + 7,9,178 + 7,{2}
178 + 7,27,178 + 7,{1}
9 + 118,28,9 + 118,{3}
9 + 118,11,9 + 118,{2}
9 + 118,20,9 + 118,{1}
11 + 219,28,11 + 219,"{1, 3}"
172 + 13,9,172 + 13,{3}
172 + 13,27,172 + 13,{2}
172 + 13,12,172 + 13,{1}
207 + 14,3,207 + 14,{3}
21 + 150,27,21 + 150,{3}
21 + 150,13,21 + 150,{2}
21 + 150,20,21 + 150,{1}
22 + 45,27,22 + 45,{3}
22 + 45,6,22 + 45,{2}
22 + 45,7,22 + 45,{1}
24 + 51,27,24 + 51,{3}
153 + 28,28,153 + 28,{3}
30 + 190,27,30 + 190,{3}
30 + 190,20,30 + 190,{1}
57 + 35,2,57 + 35,{3}
57 + 35,21,57 + 35,{2}
73 + 35,32,73 + 35,{1}
43 + 68,12,43 + 68,{3}
43 + 68,13,43 + 68,{1}
46 + 44,27,46 + 44,{3}
145 + 50,20,145 + 50,{2}
53 + 213,27,53 + 213,{3}
152 + 54,1,152 + 54,"{1, 2}"
124 + 61,27,124 + 61,{2}
204 + 63,27,204 + 63,{2}
66 + 222,2,66 + 222,{2}
67 + 157,27,67 + 157,{2}
167 + 70,12,167 + 70,{2}
167 + 70,13,167 + 70,{1}
134 + 73,13,134 + 73,{3}
134 + 73,20,134 + 73,{2}
142 + 78,20,142 + 78,{3}
196 + 78,13,196 + 78,{2}
87 + 79,27,87 + 79,{3}
87 + 79,6,87 + 79,{2}
87 + 79,7,87 + 79,{1}
85 + 91,28,85 + 91,{3}
85 + 91,25,85 + 91,{2}
85 + 91,30,85 + 91,{1}
228 + 89,27,228 + 89,{2}
92 + 93,6,92 + 93,{3}
92 + 93,27,92 + 93,{2}
92 + 93,20,92 + 93,{1}
95 + 97,27,95 + 97,{3}
102 + 111,27,102 + 111,{1}
120 + 105,13,120 + 105,{3}
107 + 108,25,107 + 108,{3}
107 + 108,28,107 + 108,{2}
107 + 108,30,107 + 108,{1}
117 + 116,27,117 + 116,{1}
225 + 122,27,225 + 122,{3}
123 + 175,27,123 + 175,{3}
123 + 175,20,123 + 175,{2}
123 + 175,6,123 + 175,{1}
184 + 126,27,184 + 126,{1}
161 + 133,27,161 + 133,{3}
161 + 133,13,161 + 133,{2}
137 + 136,13,137 + 136,{3}
137 + 136,27,137 + 136,{2}
137 + 136,6,137 + 136,{1}
181 + 139,31,181 + 139,{3}
181 + 139,16,181 + 139,{2}
181 + 139,27,181 + 139,{1}
176 + 143,13,176 + 143,{3}
176 + 143,6,176 + 143,{2}
183 + 147,3,183 + 147,{3}
149 + 165,20,149 + 165,{3}
149 + 165,31,149 + 165,{2}
149 + 165,13,149 + 165,{1}
154 + 174,20,154 + 174,{2}
200 + 162,20,200 + 162,{3}
200 + 162,28,200 + 162,{2}
192 + 174,27,192 + 174,{3}
193 + 185,27,193 + 185,{3}
193 + 185,6,193 + 185,{2}
193 + 185,13,193 + 185,{1}
217 + 186,27,217 + 186,"{2, 3}"
229 + 186,13,229 + 186,"{2, 3}"
188 + 195,3,188 + 195,{2}
188 + 195,27,188 + 195,{1}
194 + 191,20,194 + 191,{1}
202 + 207,28,202 + 207,{2}
203 + 212,27,203 + 212,{3}
211 + 208,3,211 + 208,{3}
211 + 208,13,211 + 208,{2}
211 + 208,28,211 + 208,{1}
